id,question,label,label reason,benchmark answer,mafin answer
2,Is 3M a capital-intensive business based on FY2022 data?,MVA,"Label: MVA - Multiple Valid Approaches

Detailed Reason:
Mafin's calculated ratio is correct (aligned with 5.1% in the benchmark answer). 

Both answers are backed by correct financial data and reasonable metrics (CapEx ratios, asset efficiency, ROA, depreciation)","No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
 
 CAPEX/Revenue Ratio: 5.1%
 
 Fixed assets/Total Assets: 20%
 
 Return on Assets= 12.4%","To determine if 3M is a capital-intensive business based on FY2022 data, we need to analyze the following key metrics:

1. **Total Revenue for FY2022**:  
   From the Consolidated Statement of Income, 3M's total net sales for FY2022 were **$34,229 million**.

2. **Total Capital Expenditures (CapEx) for FY2022**:  
   From the Cash Flows from Investing Activities section, 3M's total capital expenditures (purchases of property, plant, and equipment) for FY2022 were **$1,749 million**.

3. **Total Assets for FY2022**:  
   From the Consolidated Balance Sheet, 3M's total assets for FY2022 were **$46,455 million**.

4. **Depreciation and Amortization Expenses for FY2022**:  
   From the Cash Flows from Operating Activities section, 3M's depreciation and amortization expenses for FY2022 were **$1,831 million**.

---

### Analysis of Capital Intensity:
Capital intensity is typically measured by the ratio of **capital expenditures (CapEx) to revenue** and **total assets to revenue**. A higher ratio indicates a more capital-intensive business.

#### 1. **CapEx to Revenue Ratio**:
   \[
   \text{CapEx to Revenue Ratio} = \frac{\text{Capital Expenditures}}{\text{Revenue}} = \frac{1,749}{34,229} = 0.0511 \text{ or } 5.11\%
   \]
   This means that 3M spent **5.11% of its revenue on capital expenditures** in FY2022.

#### 2. **Total Assets to Revenue Ratio**:
   \[
   \text{Total Assets to Revenue Ratio} = \frac{\text{Total Assets}}{\text{Revenue}} = \frac{46,455}{34,229} = 1.36
   \]
   This means that 3M's total assets are **1.36 times its revenue** in FY2022.

#### 3. **Depreciation and Amortization to Revenue Ratio**:
   \[
   \text{Depreciation and Amortization to Revenue Ratio} = \frac{\text{Depreciation and Amortization}}{\text{Revenue}} = \frac{1,831}{34,229} = 0.0535 \text{ or } 5.35\%
   \]
   This means that 3M's depreciation and amortization expenses were **5.35% of its revenue** in FY2022.

---

### Conclusion:
- **CapEx to Revenue Ratio (5.11%)**: This is a moderate level of capital intensity. Businesses with ratios above 10% are generally considered highly capital-intensive.
- **Total Assets to Revenue Ratio (1.36)**: This indicates that 3M has a significant asset base relative to its revenue, which is typical for a manufacturing company.
- **Depreciation and Amortization to Revenue Ratio (5.35%)**: This further supports the moderate capital intensity, as it reflects the ongoing investment in maintaining and renewing assets.

Based on these metrics, **3M is moderately capital-intensive**. While it requires substantial investments in property, plant, and equipment, it is not as capital-intensive as industries like utilities or heavy manufacturing, where CapEx to revenue ratios often exceed 10%.

---

### Supporting Table:
| Metric                          | Value (FY2022)       | Calculation                     | Ratio/Result       |
|---------------------------------|----------------------|---------------------------------|--------------------|
| Total Revenue                   | $34,229 million      | -                               | -                  |
| Capital Expenditures (CapEx)    | $1,749 million       | CapEx / Revenue                 | 5.11%              |
| Total Assets                    | $46,455 million      | Total Assets / Revenue          | 1.36               |
| Depreciation and Amortization   | $1,831 million       | Depreciation & Amortization / Revenue | 5.35%              |

This analysis confirms that 3M operates as a moderately capital-intensive business."
16,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,MVA,"Label: MVA - Multiple Valid Approaches

Detailed Reason:
Mafin and the Benchmark reached different results because they applied different calculation methodologies:

Benchmark: Used FY22’s ending inventory data in its formula.
Mafin: Used the average inventory data from FY22 and FY21 in its formula.

Both methods are valid approaches to inventory-based calculations (e.g., inventory turnover), but they measure performance from different perspectives.",AES has converted inventory 9.5 times in FY 2022.,"To calculate the **inventory turnover ratio** for AES Corporation in FY2022, we need the following information:
 
 1. **Cost of Goods Sold (COGS) for FY2022**.
 2. **Average Inventory for FY2022**, calculated as:
  - (Inventory at the beginning of FY2022 + Inventory at the end of FY2022) / 2.
 
 ### Step 1: Retrieve COGS for FY2022
 From the **Consolidated Statements of Operations**, the **Total Cost of Sales** for FY2022 is **$10,069 million**. This represents the COGS for AES Corporation in FY2022.
 
 ### Step 2: Retrieve Inventory Balances for FY2022
 From the **Inventory section**, the inventory balances are as follows:
 - **December 31, 2021 (Beginning of FY2022)**: $604 million
 - **December 31, 2022 (End of FY2022)**: $1,055 million
 
 ### Step 3: Calculate Average Inventory for FY2022
 The average inventory is calculated as:
 \[
 \text{Average Inventory} = \frac{\text{Beginning Inventory} + \text{Ending Inventory}}{2} = \frac{604 + 1,055}{2} = \frac{1,659}{2} = 829.5 \, \text{million}
 \]
 
 ### Step 4: Calculate Inventory Turnover Ratio
 The inventory turnover ratio is calculated as:
 \[
 \text{Inventory Turnover Ratio} = \frac{\text{COGS}}{\text{Average Inventory}} = \frac{10,069}{829.5} \approx 12.14
 \]
 
 ### Step 5: Interpretation
 The inventory turnover ratio of **12.14** means that AES Corporation sold and replaced its inventory approximately **12.14 times** during FY2022.
 
 ### Step 6: Relevance of Inventory Turnover for AES Corporation
 AES Corporation operates in the **energy sector**, where inventory primarily consists of **fuel, raw materials, and spare parts**. While the company does maintain some inventory, its business model is not heavily reliant on physical inventory compared to industries like retail or manufacturing. Therefore, while the inventory turnover ratio is calculable, it may not be as meaningful for evaluating the company's overall operational efficiency as it would be for companies in other sectors.
 
 ---
 
 ### Final Answer:
 The **inventory turnover ratio** for AES Corporation in FY2022 is **12.14**, meaning the company sold and replaced its inventory approximately **12.14 times** during the year. While this metric is calculable, it may not be as meaningful for AES Corporation due to its business model in the energy sector, where inventory management is less central to operations compared to other industries."
47,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",BE,"Label: BE - Benchmark Error

Detailed Reason:
Mafin's answer is correct. On page 36, it is clearly stated:

""Our working capital (defined as current assets less current liabilities) was in a deficit position."" 

The benchmark answer was wrong.",Yes. American Water Works had postivie working capital of $ 124Mn by FY 2022.,"### Step-by-Step Analysis:
 
 1. **Working Capital Calculation**:
  - Working capital is calculated as **Current Assets - Current Liabilities**.
  - From the retrieved document sections, we have the following data for FY2022:
  - **Total Current Assets**: $1,250 million (as of December 31, 2022).
  - **Total Current Liabilities**: $2,811 million (as of December 31, 2022).
 
  - **Calculation**:
  \[
  \text{Working Capital} = \text{Current Assets} - \text{Current Liabilities} = 1,250 - 2,811 = -1,561 \text{ million}
  \]
  - The working capital is **negative**, indicating a deficit.
 
 2. **Relevance of Working Capital for American Water Works**:
  - American Water Works operates in the **utilities industry**, which is characterized by stable cash flows, long-term infrastructure investments, and a regulatory environment that ensures predictable revenue streams.
  - The company's business model relies heavily on long-term debt and capital-intensive projects (e.g., construction of water infrastructure). This results in significant **current liabilities**, including short-term debt and current portions of long-term debt, which are used to fund operations and capital projects.
  - The document explicitly states: 
  > ""The Company’s current liabilities may exceed current assets mainly from debt maturities due within one year and the use of short-term debt as a funding source, primarily to meet scheduled maturities of long-term debt, fund acquisitions and construction projects, as well as cash needs, which can fluctuate significantly due to the seasonality of the business and other factors.""
  - This indicates that **working capital is not a particularly relevant metric** for American Water Works, as the company's financial health is better assessed through metrics like cash flow from operations, regulatory asset management, and long-term debt servicing capabilities.
 
 3. **Conclusion**:
  - Based on FY2022 data, American Water Works has **negative working capital** of **-$1,561 million**.
  - However, **working capital is not a useful or relevant metric** for this company due to the nature of its business operations, regulatory environment, and reliance on long-term financing for capital-intensive projects.
 
 ### Final Answer:
 American Water Works had **negative working capital** of **-$1,561 million** as of FY2022. However, working capital is **not a particularly relevant metric** for this company because it operates in the utilities industry, where stable cash flows, long-term debt, and regulatory frameworks make other financial metrics (e.g., cash flow from operations) more meaningful for assessing financial health."
55,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,MVA,"Label: MVA - Multiple Valid Approaches

Detailed Reason:
Mafin and the Benchmark provided different results due to different evaluation criteria for “performed the best”:

Mafin: Provided the absolute value result.
Benchmark: Provided the growth rate result.

Both answers are correct, but they address the question from different analytical perspectives. The question itself lacked clarity, as “performed the best” can reasonably be interpreted in multiple ways (e.g., highest total performance vs. highest percentage improvement).","The entertainment segment experienced the highest growth of 9% during Q2 FY2024, primarily from gaming division.","To answer the query, we need to determine the revenue (top line) for each product category in the domestic (USA) market during Q2 of FY2024. The retrieved document sections provide the necessary information for Q2 of FY2024, so we can directly analyze the data.
 
 ### Step-by-Step Analysis:
 
 1. **Revenue by Product Category in Q2 of FY2024:**
  The relevant document section provides the revenue breakdown for each product category in the domestic (USA) market during Q2 of FY2024. The data is as follows:
 
  | Product Category | Revenue (Q2 FY2024, $ millions) |
  |----------------------------|----------------------------------|
  | Computing and Mobile Phones | $3,674 |
  | Consumer Electronics | $2,658 |
  | Appliances | $1,384 |
  | Entertainment | $544 |
  | Services | $550 |
  | Other | $80 |
  | **Total Domestic Revenue** | **$8,890** |
 
 2. **Identifying the Best-Performing Category:**
  From the table above, we can see that **Computing and Mobile Phones** generated the highest revenue ($3,674 million) in Q2 of FY2024, followed by Consumer Electronics ($2,658 million) and Appliances ($1,384 million).
 
 3. **Conclusion:**
  Based on the revenue figures, **Computing and Mobile Phones** was the best-performing product category in the domestic (USA) market during Q2 of FY2024.
 
 ### Final Answer:
 The **Computing and Mobile Phones** category performed the best (by top line) in the domestic (USA) market during Q2 of FY2024, generating $3,674 million in revenue."
66,How does Boeing's effective tax rate in FY2022 compare to FY2021?,BE,"Label: BE - Benchmark Error

Detailed Reason:
Mafin’s answer is correct, as it aligns directly with the information in the 10-K report, while the Benchmark’s answer is incorrect. The report explicitly states:

""The effective tax rates were (0.6%) for FY22 and 14.8% for FY21.""","Effective tax rate in FY2022 was 0.62%, compared to -14.76% in FY2021.","""To answer the question, we need to calculate Boeing's **effective tax rate** for FY2022 and FY2021 using the formula:

\[
\text{Effective Tax Rate} = \frac{\text{Income Tax Expense}}{\text{Income Before Taxes}} \times 100
\]

From the retrieved document sections, we have the following data:

### FY2022:
- **Income Tax Expense**: $31 million (from the line """"Total income tax expense/(benefit) $31"""").
- **Income Before Taxes**: ($5,022) million (from the line """"Loss before income taxes (5,022)"""").

### FY2021:
- **Income Tax Expense**: ($743) million (from the line """"Total income tax expense/(benefit) ($743)"""").
- **Income Before Taxes**: ($5,033) million (from the line """"Loss before income taxes (5,033)"""").

---

### Step-by-Step Calculation:

#### 1. **Effective Tax Rate for FY2022**:
\[
\text{Effective Tax Rate (FY2022)} = \frac{31}{-5,022} \times 100 = -0.62\%
\]

#### 2. **Effective Tax Rate for FY2021**:
\[
\text{Effective Tax Rate (FY2021)} = \frac{-743}{-5,033} \times 100 = 14.76\%
\]

---

### Comparison:
- **FY2022 Effective Tax Rate**: **-0.6%** (as per the table in the document, it is explicitly stated as -0.6%).
- **FY2021 Effective Tax Rate**: **14.8%** (as per the table in the document, it is explicitly stated as 14.8%).

---

### Conclusion:
Boeing's effective tax rate in FY2022 was **-0.6%**, which is significantly lower than the **14.8%** effective tax rate in FY2021. This indicates a substantial reduction in the tax burden relative to pre-tax losses in FY2022 compared to FY2021. The negative effective tax rate in FY2022 suggests that Boeing received tax benefits or credits that offset its tax liability, despite reporting a loss before taxes."""
73,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",BE,"Label: BE - Benchmark Error

Detailed Reason:
Mafin provided the correct answer, as the 10-K report (page 34) explicitly listed the working capital as 2,278. This matches Mafin’s response, while the Benchmark answer was incorrect.",Yes. Corning had a positive working capital amount of $831 million by FY 2022 close. This answer considers only operating current assets and current liabilities that were clearly shown in the balance sheet.,"To determine whether Corning (ticker: GLW) has positive working capital based on FY2022 data, we need to calculate the working capital using the formula:
 
 **Working Capital = Total Current Assets - Total Current Liabilities**
 
 From the retrieved document sections, we can extract the following information for FY2022:
 
 1. **Total Current Assets**: $7,453 million (as of December 31, 2022).
 2. **Total Current Liabilities**: $5,175 million (as of December 31, 2022).
 
 Now, let's calculate the working capital:
 
 **Working Capital = Total Current Assets - Total Current Liabilities** 
 **Working Capital = $7,453 million - $5,175 million** 
 **Working Capital = $2,278 million**
 
 Since the working capital is **$2,278 million**, which is a positive value, Corning has **positive working capital** as of FY2022.
 
 ### Relevance of Working Capital for Corning
 Working capital is a useful metric for Corning because it provides insight into the company's short-term financial health and liquidity. A positive working capital indicates that Corning has sufficient current assets to cover its current liabilities, which is generally a sign of financial stability. This is particularly relevant for a company like Corning, which operates in the manufacturing and technology sectors, where managing inventory, receivables, and payables is critical to maintaining smooth operations.
 
 ### Conclusion
 Based on FY2022 data, Corning has **positive working capital** of **$2,278 million**. This metric is relevant and useful for assessing the company's short-term financial position."
76,Is CVS Health a capital-intensive business based on FY2022 data?,MVA,"Label: MVA - Multiple Valid Approaches

Detailed Reason:
Both Mafin and the benchmark used different, valid financial metrics to assess capital intensity.

The benchmark’s answer is nuanced, not a direct “yes”. It suggests CVS requires an extensive asset base but also acknowledges that fixed assets make up a small portion of total assets (5.6%), meaning its conclusion is not definitive.","Yes, CVS Health requires an extensive asset base to operate, which is evident from its ROA of only 1.82% in 2022 and 3.39% in 2021, though it should be noted that a significant portion of this asset base is goodwill, and CVS's fixed assets/total assets ratio is on the lower side of 5.6%.","To determine whether CVS Health is a capital-intensive business based on FY2022 data, we need to analyze the following metrics:
 
 1. **Total Capital Expenditures (CapEx) for FY2022**: 
  From the retrieved document sections, CVS Health's capital expenditures for FY2022 were **$2.727 billion** (as shown in the line item ""Purchases of property and equipment"").
 
 2. **Total Revenue for FY2022**: 
  CVS Health's total revenue for FY2022 was **$322.467 billion** (as shown in the line item ""Total revenues"").
 
 3. **Total Assets for FY2022**: 
  CVS Health's total assets for FY2022 were **$228.275 billion** (as shown in the line item ""Total assets"").
 
 4. **Industry Benchmarks or Comparisons**: 
  Industry benchmarks for capital intensity are not provided in the retrieved document sections. However, we can calculate the capital intensity ratios and compare them to general industry standards.
 
 ---
 
 ### Step-by-Step Analysis:
 
 #### 1. **Capital Expenditures as a Percentage of Revenue**:
  This ratio measures how much of the company's revenue is reinvested into capital expenditures. A higher percentage indicates a more capital-intensive business.
 
  \[
  \text{CapEx as % of Revenue} = \frac{\text{Capital Expenditures}}{\text{Total Revenue}} \times 100
  \]
 
  Substituting the values:
  \[
  \text{CapEx as % of Revenue} = \frac{2.727}{322.467} \times 100 = 0.85\%
  \]
 
  **Interpretation**: CVS Health's capital expenditures represent **0.85% of its total revenue**. This is relatively low, suggesting that CVS Health is not highly capital-intensive compared to industries like manufacturing or utilities, where this ratio is typically much higher (e.g., 5-10%).
 
 ---
 
 #### 2. **Capital Expenditures as a Percentage of Total Assets**:
  This ratio measures how much of the company's total assets are tied up in capital expenditures. A higher percentage indicates a more capital-intensive business.
 
  \[
  \text{CapEx as % of Total Assets} = \frac{\text{Capital Expenditures}}{\text{Total Assets}} \times 100
  \]
 
  Substituting the values:
  \[
  \text{CapEx as % of Total Assets} = \frac{2.727}{228.275} \times 100 = 1.19\%
  \]
 
  **Interpretation**: CVS Health's capital expenditures represent **1.19% of its total assets**. This is also relatively low, further supporting the conclusion that CVS Health is not highly capital-intensive.
 
 ---
 
 #### 3. **Comparison to Industry Standards**:
  While specific industry benchmarks are not provided, general standards suggest that capital-intensive industries (e.g., oil and gas, utilities, manufacturing) typically have CapEx-to-Revenue ratios of **5-10% or higher**. CVS Health's ratios (0.85% of revenue and 1.19% of assets) are significantly lower, indicating that it is not a capital-intensive business.
 
 ---
 
 ### Conclusion:
 Based on FY2022 data, CVS Health is **not a capital-intensive business**. Its capital expenditures represent a small proportion of both its total revenue (0.85%) and total assets (1.19%), which is significantly lower than the thresholds typically associated with capital-intensive industries.
 
 Let me know if you need further clarification!"
107,What was MGM's interest coverage ratio using FY2022 Adjusted EBIT as the numerator and annual Interest Expense as the denominator?,BE,"Label: BE - Benchmark Error

Detailed Reason:
Mafin is correct, and the Benchmark is wrong due to a conceptual error. Negative EBIT results in a negative interest coverage ratio, not zero. A zero ratio implies EBIT is exactly zero, which is not the case here.
","As adjusted EBIT is negative, coverage ratio is zero","To calculate MGM's interest coverage ratio for FY2022, we need two key pieces of information: 
 1. **Adjusted EBIT** for FY2022. 
 2. **Annual Interest Expense** for FY2022. 
 
 ### Step 1: Retrieve Adjusted EBIT for FY2022 
 From the retrieved document sections, Adjusted EBIT is not explicitly provided. However, we can derive it from **Adjusted EBITDAR**, which is a non-GAAP measure that includes depreciation, amortization, and rent expenses. The formula to derive Adjusted EBIT from Adjusted EBITDAR is: 
 **Adjusted EBIT = Adjusted EBITDAR - Depreciation and Amortization - Rent Expense** 
 
 From the document: 
 - **Adjusted EBITDAR for FY2022**: $3,497,254 (in thousands) 
 - **Depreciation and Amortization for FY2022**: $3,482,050 (in thousands) 
 - **Triple-net operating lease and ground lease rent expense for FY2022**: $1,950,566 (in thousands) 
 
 Thus, 
 **Adjusted EBIT = $3,497,254 - $3,482,050 - $1,950,566 = -$1,935,362** 
 
 ### Step 2: Retrieve Annual Interest Expense for FY2022 
 From the document: 
 - **Interest expense, net of amounts capitalized for FY2022**: $594,954 (in thousands) 
 
 ### Step 3: Calculate the Interest Coverage Ratio 
 The interest coverage ratio is calculated as: 
 **Interest Coverage Ratio = Adjusted EBIT / Annual Interest Expense** 
 
 Substituting the values: 
 **Interest Coverage Ratio = -$1,935,362 / $594,954 = -3.25** 
 
 ### Interpretation 
 A negative interest coverage ratio indicates that MGM's Adjusted EBIT was insufficient to cover its interest expenses for FY2022. This suggests financial stress in meeting interest obligations from operating earnings. 
 
 ### Final Answer 
 MGM's interest coverage ratio for FY2022, using Adjusted EBIT as the numerator and annual Interest Expense as the denominator, was **-3.25**."
118,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",BE,"Label: BE - Benchmark Error

Detailed Reason:
The benchmark answer lacks reasoning for its $1.6 billion figure from the evidence text (page 61) it provides, and does not address whether working capital is a relevant metric for PayPal.

Mafin correctly calculates PayPal’s working capital as $12.4 billion using the standard formula (Total Current Assets - Total Current Liabilities). Mafin also addresses whether working capital is a relevant metric for PayPal, explaining that a large portion of its current assets and liabilities consists of customer funds, making the metric less meaningful.",Yes. Paypal has a positive working capital of $ 1.6Bn as of FY2022 end.,"To determine whether PayPal has positive working capital based on FY2022 data, we need to calculate its working capital using the formula:
 
 **Working Capital = Total Current Assets - Total Current Liabilities**
 
 From the retrieved document sections, we can extract the following information from PayPal's Consolidated Balance Sheet as of December 31, 2022:
 
 1. **Total Current Assets**: $57,517 million 
 2. **Total Current Liabilities**: $45,101 million 
 
 Now, let's calculate the working capital:
 
 **Working Capital = $57,517 million (Total Current Assets) - $45,101 million (Total Current Liabilities)** 
 **Working Capital = $12,416 million**
 
 Since the working capital is positive ($12,416 million), PayPal has positive working capital as of December 31, 2022.
 
 ### Is Working Capital a Relevant Metric for PayPal?
 Working capital is generally a useful metric for assessing a company's short-term financial health and liquidity. However, for companies like PayPal, which operate in the financial technology (fintech) sector, working capital may not be the most critical metric. Here's why:
 
 1. **Business Model**: PayPal's business model relies heavily on managing funds receivable and customer accounts, which are short-term in nature. These balances are not traditional operating assets but rather represent customer funds held in trust. This makes the interpretation of working capital less straightforward.
 
 2. **Cash Flow Management**: PayPal generates significant cash flows from operating activities ($5.8 billion in 2022), which indicates strong liquidity and the ability to meet short-term obligations without relying solely on working capital.
 
 3. **Industry Practices**: In the fintech industry, metrics like cash flow from operations, net income, and customer growth are often more relevant than working capital, as they better reflect the company's operational efficiency and growth potential.
 
 ### Conclusion
 PayPal has positive working capital of $12,416 million as of December 31, 2022. However, working capital is not the most relevant metric for evaluating PayPal's financial health due to its unique business model and reliance on cash flow management. Metrics like cash flow from operations and net income are more meaningful for assessing PayPal's performance."
132,What are three main companies acquired by Pfizer mentioned in this 10K report?,NAL,"Tag: NAL - Not Aligned

Detailed Reason:
Mafin’s answer is incorrect because it included Arena as an acquired company, while the 10-K report (Note 2, Section A, page 64) explicitly lists only Trillium, Array, and Therachon as acquisitions.

The acquisition of Arena was a decision made this year. They reached an agreement, but the acquisition has not been completed. Therefore, Arena is technically not 'acquired' by Pfizer yet."" (The acquisition was completed in 2022.)","Trillium, Array, and Therachon","To answer the query, I analyzed the retrieved document sections from Pfizer's FY2021 10-K report. The report mentions several acquisitions made by Pfizer during the fiscal year 2021. Here are the three main companies acquired by Pfizer as mentioned in the report:
 
 1. **Arena Pharmaceuticals**: 
  - In December 2021, Pfizer announced a definitive agreement to acquire Arena, a clinical-stage company focused on developing therapies for immuno-inflammatory diseases. The acquisition was valued at $100 per share in an all-cash transaction, with a total equity value of approximately $6.7 billion. The deal was subject to antitrust review and other customary closing conditions.
 
 2. **Trillium Therapeutics**: 
  - On November 17, 2021, Pfizer acquired all outstanding common stock of Trillium, a clinical-stage immuno-oncology company, for $18.50 per share in cash. The total consideration was $2.0 billion, net of cash acquired. Trillium became a wholly owned subsidiary of Pfizer, and its lead program, TTI-622, focuses on blocking the inhibitory activity of CD47, a molecule overexpressed by many tumors.
 
 3. **Therachon**: 
  - Although the acquisition of Therachon occurred earlier (on July 1, 2019), it is mentioned in the FY2021 10-K report as part of Pfizer's ongoing activities. Therachon was a privately-held clinical-stage biotechnology company focused on rare diseases, particularly achondroplasia. Pfizer acquired the remaining shares for $340 million upfront, with potential milestone payments of up to $470 million. The total fair value of the consideration transferred was $322 million.
 
 These three acquisitions highlight Pfizer's strategic focus on expanding its portfolio in immuno-inflammatory diseases, immuno-oncology, and rare diseases."
